disc,mean_1,cov_1,mean_2,cov_2,prob_1,prob_2,subdivision,alpha,power,timehorizon,arrival_rate, seed,method_name,dw_cost,pw_cost,dist_cost,total_cost
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,39,nostar,0.7810255077616131,0.010703440577265098,282.00766892232866,282.7993978706675
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,39,star,0.7810255077616131,0.010703440577265098,282.00766892232866,282.7993978706675
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,40,nostar,1.5062918929296127,0.006977594403854183,226.17742031368846,227.69068980102193
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,40,star,1.5062918929296127,0.006977594403854183,226.17742031368846,227.69068980102193
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,41,nostar,0.030213363678252905,3.065412294626814,164.17355643793653,167.2691820962416
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,41,star,0.030213363678252905,3.065412294626814,164.17355643793653,167.2691820962416
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,42,nostar,4.1833156807070395,6.421319773358956e-05,79.94643785819684,84.12981775210162
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,42,star,4.1833156807070395,6.421319773358956e-05,79.94643785819684,84.12981775210162
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,43,nostar,5.439979084343008e-05,2.023286313629948,108.05688916658183,110.08022988000262
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,43,star,5.439979084343008e-05,2.023286313629948,108.05688916658183,110.08022988000262
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,44,nostar,0.0018137127859125506,1.2379986369729146,178.0389359791019,179.27874832886073
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,44,star,0.0018137127859125506,1.2379986369729146,178.0389359791019,179.27874832886073
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,45,nostar,0.9411030816359403,0.0002357824381678925,143.3281979132409,144.269536777315
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,45,star,0.9411030816359403,0.0002357824381678925,143.3281979132409,144.269536777315
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,46,nostar,0.0005306589428126761,2.782857040524726,124.80002975910995,127.58341745857749
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,46,star,0.0005306589428126761,2.782857040524726,124.80002975910995,127.58341745857749
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,47,nostar,0.04189254955352453,2.3140198175582873,172.5908963104509,174.9468086775627
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,47,star,0.04189254955352453,2.3140198175582873,172.5908963104509,174.9468086775627
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,48,nostar,0.21501678633201574,0.2686089167036764,314.2663618327882,314.7499875358239
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,48,star,0.21501678633201574,0.2686089167036764,314.2663618327882,314.7499875358239
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,49,nostar,0.5469765473136974,0.006329479823339446,278.4311578203361,278.98446384747314
0.03125,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,49,star,0.5469765473136974,0.006329479823339446,278.4311578203361,278.98446384747314
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,0,nostar,1.5276034492944979,0.001142447109767154,214.1808910091077,215.70963690551199
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,0,star,1.5276034492944979,0.001142447109767154,214.1808910091077,215.70963690551199
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,1,nostar,0.16538570366258068,0.12844116397186806,294.96514682513435,295.2589736927688
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,1,star,0.16538570366258068,0.12844116397186806,294.96514682513435,295.2589736927688
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,2,nostar,0.2953734456695506,0.005492206625611246,335.16890440125906,335.4697700535542
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,2,star,0.2953734456695506,0.005492206625611246,335.16890440125906,335.4697700535542
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,3,nostar,0.8204136393964313,0.33441079349887426,222.5658680009609,223.72069243385621
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,3,star,0.8204136393964313,0.33441079349887426,222.5658680009609,223.72069243385621
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,4,nostar,0.0015018249809179084,1.5142422015199544,145.44145482901996,146.95719885552083
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,4,star,0.0015018249809179084,1.5142422015199544,145.44145482901996,146.95719885552083
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,5,nostar,0.03013972452185172,0.7185265800644304,244.6251350283766,245.3738013329629
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,5,star,0.03013972452185172,0.7185265800644304,244.6251350283766,245.3738013329629
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,6,nostar,0.016308658355769955,1.1513312923079446,189.05495308837334,190.22259303903706
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,6,star,0.016308658355769955,1.1513312923079446,189.05495308837334,190.22259303903706
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,7,nostar,0.0013024405223603316,0.9719574401977686,242.17751189547948,243.1507717761996
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,7,star,0.0013024405223603316,0.9719574401977686,242.17751189547948,243.1507717761996
0.0625,"(0.0, 0.0)","((1, 0), (0, 1))","(5, 5)","((1, 0), (0, 1))",0.5,0.5,2,0.00390625,1.5,128.001,1.0,8,nostar,0.027258543240699866,0.4437308357993496,359.3417258672717,359.81271524631177
